CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
3133,21004.74,926.22,277.23,704.76,676.35,347.45,380.03,1886.11,2391.622642,1076.358491,106,15.52867389,8.925117591,0.818328497,0.913793103,0.552083333,0.408964055
3134,30156.55,1000.84,274.36,717.21,753.6,378.36,403.57,1744.48,2442.241379,1073.844828,58,10.43973723,7.146587842,0.728959998,0.935483871,0.644444444,-0.662749485
3135,16911.51,504.39,1729.94,1377.35,1368.8,300.33,287.59,674.06,544.8571429,1074.836735,49,10.18933493,6.278887966,0.787572839,0.924528302,0.636363636,-0.193097124
3136,16656.09,458.64,731.79,658.79,739.12,448.15,271.21,686.39,625,1072.69697,33,7.923735478,5.278862602,0.745765234,0.970588235,0.785714286,-1.023619812
3137,28084.06,1022.25,282.21,719.72,879.74,326.34,398.86,4999.21,1248.87,1075.72,100,14.59365772,8.94764518,0.789990758,0.909090909,0.595238095,-0.709966295
3138,36922.99,511.78,516.22,668.14,504.42,353.86,358.48,1768.51,2320.658824,1075.035294,85,13.29528856,8.310872174,0.78054544,0.923913043,0.643939394,0.982948738
3139,34030.72,475.13,424.46,620.78,459.24,326.52,378.04,1750.44,2348.277778,1073.333333,54,8.836056656,7.875459872,0.453440183,0.947368421,0.675,-1.459126202
3140,18568.15,656.52,628.01,1084.99,717.72,335.66,380.25,734.36,395.2063492,1078.333333,126,15.52430957,11.02221102,0.704204843,0.845637584,0.7,0.045039835
3141,28908.62,875.18,298.3,690.81,704.07,331.99,403.15,1780.86,854.6852792,1078.020305,197,18.03297195,14.76593113,0.574036665,0.838297872,0.684027778,1.43162113
3142,9337.75,506.97,314.08,512,521.25,263.92,317.92,1488.5,1022.083333,1074.444444,36,8.697359931,5.309937514,0.791998594,0.9,0.642857143,0.997086127
3143,10014.48,468.85,544.03,975.58,490.35,295,316.43,1667.3,1421.425,1074.9,40,7.687375138,6.622255166,0.507849929,0.930232558,0.714285714,-0.060509209
